column,dtype,role,non_null,unique,memory_bytes
order_id,str,identifier,67529,67529,5469981
customer_id,str,identifier,67529,67529,5469981
order_status,str,categorical/text,67529,1,3916814
order_purchase_timestamp,datetime64[us],date,67529,67151,540364
order_approved_at,datetime64[us],date,67515,63147,540364
order_delivered_carrier_date,datetime64[us],date,67528,63238,540364
order_delivered_customer_date,datetime64[us],date,67529,66954,540364
order_estimated_delivery_date,datetime64[us],date,67529,356,540364
customer_unique_id,str,identifier,67529,65397,5469981
customer_zip_code_prefix,int64,numeric,67529,13748,540364
customer_city,str,categorical/text,67529,3747,4009138
customer_state,str,categorical/text,67529,27,3444111
item_count,float64,numeric,67529,17,540364
product_count,float64,numeric,67529,7,540364
seller_count,float64,numeric,67529,5,540364
total_price,float64,numeric,67529,5842,540364
total_freight,float64,numeric,67529,6223,540364
avg_item_price,float64,numeric,67529,5317,540364
max_item_price,float64,numeric,67529,4491,540364
product_category_count,float64,numeric,67529,4,540364
product_category_mode,str,categorical/text,66328,71,4138328
product_name_length_mean,float64,numeric,66332,232,540364
product_description_length_mean,float64,numeric,66332,3456,540364
product_photos_qty_mean,float64,numeric,66332,58,540364
product_weight_g_mean,float64,numeric,67513,2272,540364
product_volume_cm3_mean,float64,numeric,67513,4650,540364
seller_state_mode,str,categorical/text,67529,22,3444111
seller_zip_code_prefix_mode,float64,numeric,67529,1679,540364
shipping_limit_date_max,datetime64[us],date,67529,64124,540364
payment_count,float64,numeric,67528,19,540364
payment_value_total,float64,numeric,67528,21016,540364
max_payment_installments,float64,numeric,67528,22,540364
payment_type_count,float64,numeric,67528,2,540364
payment_type_mode,str,categorical/text,67528,4,3976153
customer_lat,float64,numeric,67348,13627,540364
customer_lng,float64,numeric,67348,13626,540364
customer_geo_observations,float64,numeric,67348,483,540364
seller_lat,float64,numeric,67365,1673,540364
seller_lng,float64,numeric,67365,1673,540364
seller_geo_observations,float64,numeric,67365,382,540364
customer_seller_distance_km,float64,numeric,67185,63627,540364
delivery_delay_days,float64,numeric,67529,65310,540364
late,int64,numeric,67529,2,540364
delivery_label,str,categorical/text,67529,2,3763468
