customer_state,orders,late_rate
AL,298,0.2785234899328859
MA,548,0.21532846715328466
CE,948,0.18248945147679324
SE,246,0.17073170731707318
PI,348,0.16666666666666666
RJ,8965,0.16586726157278306
BA,2307,0.14997832683138274
PA,718,0.13370473537604458
ES,1445,0.1328719723183391
TO,197,0.1319796954314721
PB,370,0.12702702702702703
RN,349,0.12320916905444126
SC,2576,0.11956521739130435
PE,1117,0.11906893464637422
MS,502,0.11752988047808766
GO,1409,0.09581263307310149
RS,3912,0.08665644171779141
MT,640,0.0859375
DF,1404,0.07977207977207977
MG,8129,0.06286136056095461
SP,27204,0.055947654756653434
PR,3461,0.05431956082057209
AM,105,0.047619047619047616
RO,185,0.03783783783783784
