product_category_mode,orders,late_rate
audio,249,0.1606425702811245
construction_tools_construction,274,0.14233576642335766
fashion_underwear_beach,103,0.13592233009708737
home_confort,274,0.12773722627737227
electronics,1759,0.11711199545196134
musical_instruments,403,0.10918114143920596
baby,1862,0.10902255639097744
home_construction,217,0.10599078341013825
watches_gifts,3257,0.10469757445501995
bed_bath_table,6630,0.10361990950226245
food,194,0.0979381443298969
auto,2414,0.09734879867439934
office_furniture,972,0.09670781893004116
furniture_decor,4537,0.09653956358827419
health_beauty,5377,0.0950344058024921
,1201,0.09492089925062448
telephony,3066,0.09458577951728636
industry_commerce_and_business,128,0.09375
books_technical,107,0.09345794392523364
consoles_games,819,0.09035409035409035
garden_tools,2638,0.08908263836239576
home_appliances_2,135,0.08888888888888889
drinks,170,0.08823529411764706
computers_accessories,4781,0.08680192428362267
sports_leisure,5594,0.08634250983196282
furniture_living_room,270,0.08518518518518518
costruction_tools_garden,118,0.0847457627118644
stationery,1587,0.08380592312539382
food_drink,156,0.08333333333333333
perfumery,2285,0.08096280087527352
toys,2972,0.0797442799461642
housewares,3506,0.07501426126640046
fashion_shoes,200,0.075
pet_shop,1027,0.07400194741966894
books_general_interest,328,0.07317073170731707
fashion_bags_accessories,1391,0.07260963335729691
kitchen_dining_laundry_garden_furniture,156,0.07051282051282051
cool_stuff,2932,0.06821282401091405
small_appliances,445,0.06741573033707865
agro_industry_and_commerce,112,0.0625
home_appliances,436,0.06192660550458716
air_conditioning,179,0.055865921787709494
fixed_telephony,166,0.05421686746987952
luggage_accessories,792,0.05303030303030303
market_place,223,0.04932735426008968
computers,137,0.043795620437956206
