column,count,mean,std,min,1%,25%,50%,75%,99%,max,skew,missing_pct
item_count,67529.0,1.1420722948659094,0.5416400873000131,1.0,1.0,1.0,1.0,1.0,3.0,21.0,8.107161536159742,0.0
product_count,67529.0,1.0377023204845326,0.22219869215870278,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.677311883458359,0.0
seller_count,67529.0,1.0120540804691318,0.11481507633930262,1.0,1.0,1.0,1.0,1.0,2.0,5.0,10.524938454780273,0.0
total_price,67529.0,135.88879710939005,205.19401871533685,2.29,11.99,45.9,85.0,149.9,987.0,13440.0,10.718894875470696,0.0
total_freight,67529.0,22.245936264419733,20.00259446158746,0.0,7.78,14.1,16.79,23.7,98.17160000000004,1002.29,8.581743232812306,0.0
avg_item_price,67529.0,124.2390697872051,185.65966133426642,1.5142857142857142,10.99,41.0,78.97,139.9,899.0,6735.0,7.802465037918915,0.0
max_item_price,67529.0,124.84735402567787,186.0375375682315,2.29,10.99,41.9,79.0,139.9,899.0,6735.0,7.764836318950935,0.0
product_category_count,67529.0,0.9889528943120733,0.15639806616281093,0.0,0.0,1.0,1.0,1.0,1.0,3.0,-2.536221510992015,0.0
product_name_length_mean,66332.0,48.73892123688187,9.987490993024107,5.0,21.0,42.0,52.0,57.0,63.0,72.0,-0.8772871849151661,1.7725717839742927
product_description_length_mean,66332.0,777.8726610784189,652.1406084087154,4.0,85.0,342.0,592.0,974.0,3530.0,3992.0,2.076959028001766,1.7725717839742927
product_photos_qty_mean,66332.0,2.2452792205181695,1.7432772753686878,1.0,1.0,1.0,2.0,3.0,8.0,20.0,1.9381943899601286,1.7725717839742927
product_weight_g_mean,67513.0,2171.789991961144,3866.6982628511914,2.0,100.0,300.0,700.0,1850.0,19100.0,40425.0,3.5792159915778505,0.02369352426364969
product_volume_cm3_mean,67513.0,15843.297853169597,24161.77730229142,288.0,352.0,2880.0,6859.0,19500.0,115992.08000000031,294000.0,3.998160334939582,0.02369352426364969
payment_count,67528.0,1.0476246890178889,0.39722330259889177,1.0,1.0,1.0,1.0,1.0,2.0,26.0,22.419508864150924,0.0014808452664781056
payment_value_total,67528.0,158.17363745409313,214.28575696751378,10.07,22.95,61.63,104.19,175.5,1039.8567999999993,13664.08,10.149318248317096,0.0014808452664781056
max_payment_installments,67528.0,2.9745587015756425,2.7551684390663977,1.0,1.0,1.0,2.0,4.0,10.0,24.0,1.5926651696399097,0.0014808452664781056
payment_type_count,67528.0,1.0240196659163605,0.15311129522782277,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.217626610318584,0.0014808452664781056
customer_lat,67348.0,-21.132372437809195,5.709291053280948,-33.690971840060584,-30.090744042183644,-23.58801506956185,-22.91553294448616,-19.99632232413408,-2.499473226500051,41.14620290949943,1.6007413564277437,0.26803299323253715
customer_lng,67348.0,-46.177340755096026,4.120320370134174,-72.67098698091266,-56.10450379644305,-48.27171488412486,-46.627313695568105,-43.53345366964976,-34.933590008976665,-8.57785501800488,-0.013469224073503002,0.26803299323253715
customer_geo_observations,67348.0,153.23112787313656,153.68836489997534,1.0,5.0,53.0,103.0,196.0,724.0,1146.0,2.2781804610000593,0.26803299323253715
seller_lat,67365.0,-22.84059294347105,2.483131626833959,-32.07465689394012,-29.91562943112119,-23.61325890813089,-23.41653142414265,-21.757690120914923,-12.89472449617752,-2.498944490930389,2.095112610253256,0.24285862370240935
seller_lng,67365.0,-47.27192367090507,2.3366962274872716,-63.89314474007578,-53.46130455981301,-48.82976816265947,-46.75549168747648,-46.52155376768715,-38.65471774999996,-34.85512308090483,0.46508400573198494,0.24285862370240935
seller_geo_observations,67365.0,146.21324129740964,121.08135264370992,1.0,6.0,56.0,109.0,208.0,543.0,965.0,1.6440532106330707,0.24285862370240935
customer_seller_distance_km,67185.0,614.5708256808844,595.7268782881339,0.0,6.02587814757493,218.3532405201132,448.2764091916621,810.9678560911615,2492.3265667373603,8032.940812534036,1.6826585768097948,0.5094107716684684
