column,lower_fence,upper_fence,outlier_count,outlier_pct,min,max
customer_lat,-28.9755541877035,-14.60878320599243,11081,16.45334679574746,-33.690971840060584,41.14620290949943
product_weight_g_mean,-2025.0,4175.0,9769,14.469805815176336,2.0,40425.0
item_count,1.0,1.0,6758,10.007552310859039,1.0,21.0
total_freight,-0.29999999999999893,38.099999999999994,6630,9.818004116749842,0.0,1002.29
product_volume_cm3_mean,-22050.0,44430.0,5984,8.86347814494986,288.0,294000.0
seller_lat,-26.396612088954846,-18.97433694009097,5832,8.657314629258517,-32.07465689394012,-2.498944490930389
customer_seller_distance_km,-670.5686828364592,1699.8897794477339,5444,8.102999181364888,0.0,8032.940812534036
total_price,-110.1,305.9,5362,7.940292318855604,2.29,13440.0
payment_value_total,-109.17500000000001,346.305,5309,7.861923942660823,10.07,13664.08
max_item_price,-105.1,286.9,5165,7.648565801359417,2.29,6735.0
avg_item_price,-107.35000000000002,288.25,5110,7.56711931170312,1.5142857142857142,6735.0
max_payment_installments,-3.5,8.5,4678,6.92749674209217,1.0,24.0
customer_geo_observations,-161.5,410.5,4523,6.7158638712359675,1.0,1146.0
product_description_length_mean,-606.0,1922.0,4022,6.063438461074595,4.0,3992.0
seller_lng,-52.29208975511794,-43.05923217522867,3050,4.527573665850219,-63.89314474007578,-34.85512308090483
customer_lng,-55.379106705837515,-36.426061847937106,2624,3.8961810298746804,-72.67098698091266,-8.57785501800488
product_count,1.0,1.0,2209,3.2711871936501353,1.0,7.0
payment_count,1.0,1.0,2129,3.1527662599218105,1.0,26.0
product_photos_qty_mean,-2.0,6.0,1936,2.9186516311885664,1.0,20.0
seller_geo_observations,-172.0,436.0,1663,2.4686409856750537,1.0,965.0
product_category_count,1.0,1.0,1642,2.4315479275570495,0.0,3.0
payment_type_count,1.0,1.0,1622,2.401966591636062,1.0,2.0
seller_count,1.0,1.0,776,1.14913592678701,1.0,5.0
product_name_length_mean,19.5,79.5,435,0.6557920762226377,5.0,72.0
